Category,Item,Model/Part,Quantity,Unit Cost (USD),Total Cost (USD),Supplier,Status,Notes
Microcontroller,ESP32 Development Board,ESP32-WROOM-32,1,25.00,25.00,AliExpress/Amazon,Required,Core processor with WiFi/BLE
RTC Module,DS3231 Real-Time Clock,DS3231,1,10.00,10.00,AliExpress/Amazon,Required,I2C interface with battery backup
Temperature Sensor,MAX6675 Module,MAX6675,1,15.00,15.00,AliExpress/Amazon,Required,With K-type thermocouple
Thermocouple,K-Type Thermocouple,K-Type,1,8.00,8.00,AliExpress/Amazon,Required,High temperature range (0-500°C)
Servo Motor,MG995 Metal Gear Servo,MG995,1,20.00,20.00,AliExpress/Amazon,Required,15kg/cm torque
Parabolic Reflector,Parabolic Dish (0.9m),Custom,1,80.00,80.00,Local Fabrication,Required,Aluminum coated
SD Card Module,MicroSD Card Module,MicroSD,1,5.00,5.00,AliExpress/Amazon,Required,SPI interface
SD Card,MicroSD Card (16GB),Class 10,1,10.00,10.00,AliExpress/Amazon,Required,FAT32 formatted
Solar Panel,5V 5W Solar Panel,5W,1,25.00,25.00,AliExpress/Amazon,Required,For off-grid operation
Battery,18650 Li-ion Battery,18650,1,10.00,10.00,AliExpress/Amazon,Required,3000mAh
Charger Module,TP4056 Charger Module,TP4056,1,5.00,5.00,AliExpress/Amazon,Required,With protection circuit
Jumper Wires,Jumper Wires (Male-Male),20cm,20,0.25,5.00,AliExpress/Amazon,Required,For breadboard connections
Breadboard,830 Point Breadboard,830pt,1,5.00,5.00,AliExpress/Amazon,Required,For prototyping
Resistor,4.7kΩ Resistor,1/4W,2,0.25,0.50,AliExpress/Amazon,Required,Pull-up for I2C
Enclosure,Waterproof Enclosure,Custom,1,15.00,15.00,Local,Optional,For outdoor protection
Mounting Hardware,Mounting Brackets,Custom,1,10.00,10.00,Local,Optional,For reflector mounting
USB Cable,USB-A to Micro-B,1m,1,3.00,3.00,AliExpress/Amazon,Required,For programming
Power Supply,5V 2A Power Supply,5V/2A,1,12.00,12.00,AliExpress/Amazon,Optional,For indoor testing
Soldering Kit,Soldering Iron Kit,60W,1,15.00,15.00,AliExpress/Amazon,Required,For permanent connections
Multimeter,Digital Multimeter,DT830,1,10.00,10.00,AliExpress/Amazon,Required,For testing
Total,,,,,268.50,,,,
